Source airport,Origin,Destination airport,Destination,lat_st,lng_st,lat_end,lng_end,distance
STN,LONDON,MAD,MADRID,51.5072,-0.1275,40.4,-3.6834,1264.887943144433
STN,LONDON,OTP,BUCHAREST,51.5072,-0.1275,44.4334,26.0999,2090.8173844177772
STN,LONDON,PRG,PRAGUE,51.5072,-0.1275,50.0833,14.466,1036.0684328484274
STN,LONDON,RIX,RIGA,51.5072,-0.1275,56.95,24.1,1676.0738052800389
STN,LONDON,SXF,BERLIN,51.5072,-0.1275,52.5218,13.4015,931.3225988128867
STN,LONDON,TFS,SOFIA,51.5072,-0.1275,42.6833,23.3167,2015.1404747788715
STN,LONDON,TGD,PODGORICA,51.5072,-0.1275,42.466,19.2663,1773.0647942927199
STN,LONDON,TLL,TALLINN,51.5072,-0.1275,59.4339,24.728,1782.2428441435045
STN,LONDON,TRF,OSLO,51.5072,-0.1275,59.9167,10.75,1153.9172411758855
STN,LONDON,VNO,VILNIUS,51.5072,-0.1275,54.6834,25.3166,1725.115605514369
SXF,BERLIN,DUB,DUBLIN,52.5218,13.4015,53.3331,-6.2489,1316.0926274732135
SXF,BERLIN,STN,LONDON,52.5218,13.4015,51.5072,-0.1275,931.3225988128867
TFS,SOFIA,DUB,DUBLIN,42.6833,23.3167,53.3331,-6.2489,2472.8171626734133
TFS,SOFIA,LTN,LONDON,42.6833,23.3167,51.5072,-0.1275,2015.1404747788715
TFS,SOFIA,MAD,MADRID,42.6833,23.3167,40.4,-3.6834,2251.7347132745494
TFS,SOFIA,STN,LONDON,42.6833,23.3167,51.5072,-0.1275,2015.1404747788715
TGD,PODGORICA,STN,LONDON,42.466,19.2663,51.5072,-0.1275,1773.0647942927199
TLL,TALLINN,STN,LONDON,59.4339,24.728,51.5072,-0.1275,1782.2428441435045
TRF,OSLO,STN,LONDON,59.9167,10.75,51.5072,-0.1275,1153.9172411758855
VNO,VILNIUS,CIA,ROME,54.6834,25.3166,41.896,12.4833,1703.8952978894408
VNO,VILNIUS,DUB,DUBLIN,54.6834,25.3166,53.3331,-6.2489,2050.644629638055
VNO,VILNIUS,STN,LONDON,54.6834,25.3166,51.5072,-0.1275,1725.115605514369
ARN,STOCKHOLM,VIE,VIENNA,59.3508,18.0973,48.2,16.3666,1245.008379922034
CDG,PARIS,VIE,VIENNA,48.8667,2.3333,48.2,16.3666,1034.470986247922
CPH,COPENHAGEN,VIE,VIENNA,55.6786,12.5635,48.2,16.3666,871.1559370951121
DME,MOSCOW,VIE,VIENNA,55.7522,37.6155,48.2,16.3666,1670.432385143564
FCO,ROME,VIE,VIENNA,41.896,12.4833,48.2,16.3666,764.2244913080981
MAD,MADRID,VIE,VIENNA,40.4,-3.6834,48.2,16.3666,1808.399550740918
TFS,SOFIA,VIE,VIENNA,42.6833,23.3167,48.2,16.3666,818.0466677212581
VIE,VIENNA,ARN,STOCKHOLM,48.2,16.3666,59.3508,18.0973,1245.008379922034
VIE,VIENNA,CDG,PARIS,48.2,16.3666,48.8667,2.3333,1034.470986247922
VIE,VIENNA,CPH,COPENHAGEN,48.2,16.3666,55.6786,12.5635,871.1559370951121
VIE,VIENNA,DME,MOSCOW,48.2,16.3666,55.7522,37.6155,1670.432385143564
VIE,VIENNA,FCO,ROME,48.2,16.3666,41.896,12.4833,764.2244913080981
VIE,VIENNA,MAD,MADRID,48.2,16.3666,40.4,-3.6834,1808.399550740918
VIE,VIENNA,TFS,SOFIA,48.2,16.3666,42.6833,23.3167,818.0466677212581
BRU,BRUSSELS,TFS,SOFIA,50.8333,4.3333,42.6833,23.3167,1699.0603915139332
TFS,SOFIA,BRU,BRUSSELS,42.6833,23.3167,50.8333,4.3333,1699.0603915139332
ARN,STOCKHOLM,TXL,BERLIN,59.3508,18.0973,52.5218,13.4015,813.2331238329539
BRU,BRUSSELS,CPH,COPENHAGEN,50.8333,4.3333,55.6786,12.5635,767.1664033498072
BRU,BRUSSELS,FCO,ROME,50.8333,4.3333,41.896,12.4833,1172.5716529501137
BRU,BRUSSELS,MAD,MADRID,50.8333,4.3333,40.4,-3.6834,1315.2527599388204
BRU,BRUSSELS,TXL,BERLIN,50.8333,4.3333,52.5218,13.4015,652.3268696868982
CPH,COPENHAGEN,BRU,BRUSSELS,55.6786,12.5635,50.8333,4.3333,767.1664033498072
CPH,COPENHAGEN,TXL,BERLIN,55.6786,12.5635,52.5218,13.4015,355.2399396172596
FCO,ROME,BRU,BRUSSELS,41.896,12.4833,50.8333,4.3333,1172.5716529501137
MAD,MADRID,BRU,BRUSSELS,40.4,-3.6834,50.8333,4.3333,1315.2527599388204
OSL,OSLO,TXL,BERLIN,59.9167,10.75,52.5218,13.4015,838.2836554953195
TXL,BERLIN,ARN,STOCKHOLM,52.5218,13.4015,59.3508,18.0973,813.2331238329539
TXL,BERLIN,BRU,BRUSSELS,52.5218,13.4015,50.8333,4.3333,652.3268696868982
TXL,BERLIN,CPH,COPENHAGEN,52.5218,13.4015,55.6786,12.5635,355.2399396172596
TXL,BERLIN,OSL,OSLO,52.5218,13.4015,59.9167,10.75,838.2836554953195
TXL,BERLIN,VIE,VIENNA,52.5218,13.4015,48.2,16.3666,524.4636696826291
VIE,VIENNA,TXL,BERLIN,48.2,16.3666,52.5218,13.4015,524.4636696826291
AMS,AMSTERDAM,ATH,ATHENS,52.35,4.9166,37.9833,23.7333,2161.5190088901722
AMS,AMSTERDAM,TFS,SOFIA,52.35,4.9166,42.6833,23.3167,1742.1577309297
ATH,ATHENS,AMS,AMSTERDAM,37.9833,23.7333,52.35,4.9166,2161.5190088901722
TFS,SOFIA,AMS,AMSTERDAM,42.6833,23.3167,52.35,4.9166,1742.1577309297
ARN,STOCKHOLM,LHR,LONDON,59.3508,18.0973,51.5072,-0.1275,1435.3698647024166
ARN,STOCKHOLM,MAD,MADRID,59.3508,18.0973,40.4,-3.6834,2596.6836792252475
BRU,BRUSSELS,FCO,ROME,50.8333,4.3333,41.896,12.4833,1172.5716529501137
BRU,BRUSSELS,MAD,MADRID,50.8333,4.3333,40.4,-3.6834,1315.2527599388204
BUD,BUDAPEST,LHR,LONDON,47.5,19.0833,51.5072,-0.1275,1452.0479603813956
CPH,COPENHAGEN,MAD,MADRID,55.6786,12.5635,40.4,-3.6834,2073.4098959665853
DME,MOSCOW,MAD,MADRID,55.7522,37.6155,40.4,-3.6834,3440.1937615182505
DUB,DUBLIN,MAD,MADRID,53.3331,-6.2489,40.4,-3.6834,1451.0129233974856
FCO,ROME,BRU,BRUSSELS,41.896,12.4833,50.8333,4.3333,1172.5716529501137
FCO,ROME,MAD,MADRID,41.896,12.4833,40.4,-3.6834,1361.775863128332
FCO,ROME,ORY,PARIS,41.896,12.4833,48.8667,2.3333,1106.8939631081116
FCO,ROME,PRG,PRAGUE,41.896,12.4833,50.0833,14.466,923.0908171053476
HEL,HELSINKI,MAD,MADRID,60.1756,24.9341,40.4,-3.6834,2949.210182932884
KBP,KIEV,MAD,MADRID,50.4334,30.5166,40.4,-3.6834,2861.388001506692
LCY,LONDON,MAD,MADRID,51.5072,-0.1275,40.4,-3.6834,1264.887943144433
LGW,LONDON,TFS,SOFIA,51.5072,-0.1275,42.6833,23.3167,2015.1404747788715
LHR,LONDON,ARN,STOCKHOLM,51.5072,-0.1275,59.3508,18.0973,1435.3698647024166
LHR,LONDON,BUD,BUDAPEST,51.5072,-0.1275,47.5,19.0833,1452.0479603813956
LHR,LONDON,MAD,MADRID,51.5072,-0.1275,40.4,-3.6834,1264.887943144433
LHR,LONDON,ORY,PARIS,51.5072,-0.1275,48.8667,2.3333,341.8630668250098
LHR,LONDON,OSL,OSLO,51.5072,-0.1275,59.9167,10.75,1153.9172411758855
LHR,LONDON,WAW,WARSAW,51.5072,-0.1275,52.25,21.0,1447.4673224092546
MAD,MADRID,ARN,STOCKHOLM,40.4,-3.6834,59.3508,18.0973,2596.6836792252475
MAD,MADRID,BRU,BRUSSELS,40.4,-3.6834,50.8333,4.3333,1315.2527599388204
MAD,MADRID,CPH,COPENHAGEN,40.4,-3.6834,55.6786,12.5635,2073.4098959665853
MAD,MADRID,DME,MOSCOW,40.4,-3.6834,55.7522,37.6155,3440.1937615182505
MAD,MADRID,DUB,DUBLIN,40.4,-3.6834,53.3331,-6.2489,1451.0129233974856
MAD,MADRID,FCO,ROME,40.4,-3.6834,41.896,12.4833,1361.775863128332
MAD,MADRID,HEL,HELSINKI,40.4,-3.6834,60.1756,24.9341,2949.210182932884
MAD,MADRID,KBP,KIEV,40.4,-3.6834,50.4334,30.5166,2861.388001506692
MAD,MADRID,LCY,LONDON,40.4,-3.6834,51.5072,-0.1275,1264.887943144433
MAD,MADRID,LHR,LONDON,40.4,-3.6834,51.5072,-0.1275,1264.887943144433
MAD,MADRID,ORY,PARIS,40.4,-3.6834,48.8667,2.3333,1054.1701042440359
MAD,MADRID,PRG,PRAGUE,40.4,-3.6834,50.0833,14.466,1774.980138030542
MAD,MADRID,SOF,SOFIA,40.4,-3.6834,42.6833,23.3167,2251.7347132745494
MAD,MADRID,TFS,SOFIA,40.4,-3.6834,42.6833,23.3167,2251.7347132745494
MAD,MADRID,TXL,BERLIN,40.4,-3.6834,52.5218,13.4015,1869.4888465913932
MAD,MADRID,VIE,VIENNA,40.4,-3.6834,48.2,16.3666,1808.399550740918
ORY,PARIS,FCO,ROME,48.8667,2.3333,41.896,12.4833,1106.8939631081116
ORY,PARIS,LHR,LONDON,48.8667,2.3333,51.5072,-0.1275,341.8630668250098
ORY,PARIS,MAD,MADRID,48.8667,2.3333,40.4,-3.6834,1054.1701042440359
ORY,PARIS,TFS,SOFIA,48.8667,2.3333,42.6833,23.3167,1759.308627741151
OSL,OSLO,LHR,LONDON,59.9167,10.75,51.5072,-0.1275,1153.9172411758855
PRG,PRAGUE,FCO,ROME,50.0833,14.466,41.896,12.4833,923.0908171053476
PRG,PRAGUE,MAD,MADRID,50.0833,14.466,40.4,-3.6834,1774.980138030542
SOF,SOFIA,MAD,MADRID,42.6833,23.3167,40.4,-3.6834,2251.7347132745494
TFS,SOFIA,LGW,LONDON,42.6833,23.3167,51.5072,-0.1275,2015.1404747788715
TFS,SOFIA,MAD,MADRID,42.6833,23.3167,40.4,-3.6834,2251.7347132745494
TFS,SOFIA,ORY,PARIS,42.6833,23.3167,48.8667,2.3333,1759.308627741151
TXL,BERLIN,MAD,MADRID,52.5218,13.4015,40.4,-3.6834,1869.4888465913932
VIE,VIENNA,MAD,MADRID,48.2,16.3666,40.4,-3.6834,1808.399550740918
WAW,WARSAW,LHR,LONDON,52.25,21.0,51.5072,-0.1275,1447.4673224092546
FCO,ROME,TXL,BERLIN,41.896,12.4833,52.5218,13.4015,1183.5427572169108
FCO,ROME,VIE,VIENNA,41.896,12.4833,48.2,16.3666,764.2244913080981
TFS,SOFIA,FCO,ROME,42.6833,23.3167,41.896,12.4833,894.7865328544613
TXL,BERLIN,FCO,ROME,52.5218,13.4015,41.896,12.4833,1183.5427572169108
VIE,VIENNA,FCO,ROME,48.2,16.3666,41.896,12.4833,764.2244913080981
CPH,COPENHAGEN,SJJ,SARAJEVO,55.6786,12.5635,43.85,18.383,1378.8961669488885
SJJ,SARAJEVO,CPH,COPENHAGEN,43.85,18.383,55.6786,12.5635,1378.8961669488885
AMS,AMSTERDAM,LJU,LJUBLJANA,52.35,4.9166,46.0553,14.515,986.460808584395
BRU,BRUSSELS,LJU,LJUBLJANA,50.8333,4.3333,46.0553,14.515,918.6295142291241
CDG,PARIS,LJU,LJUBLJANA,48.8667,2.3333,46.0553,14.515,966.397503194761
CPH,COPENHAGEN,LJU,LJUBLJANA,55.6786,12.5635,46.0553,14.515,1078.6766420200383
LJU,LJUBLJANA,AMS,AMSTERDAM,46.0553,14.515,52.35,4.9166,986.460808584395
LJU,LJUBLJANA,BRU,BRUSSELS,46.0553,14.515,50.8333,4.3333,918.6295142291241
LJU,LJUBLJANA,CDG,PARIS,46.0553,14.515,48.8667,2.3333,966.397503194761
LJU,LJUBLJANA,CPH,COPENHAGEN,46.0553,14.515,55.6786,12.5635,1078.6766420200383
LJU,LJUBLJANA,PRG,PRAGUE,46.0553,14.515,50.0833,14.466,447.90793379326556
LJU,LJUBLJANA,SJJ,SARAJEVO,46.0553,14.515,43.85,18.383,390.78827483747233
LJU,LJUBLJANA,SKP,SKOPJE,46.0553,14.515,42.0,21.4335,713.1801165918753
LJU,LJUBLJANA,SVO,MOSCOW,46.0553,14.515,55.7522,37.6155,1931.429790113138
LJU,LJUBLJANA,TGD,PODGORICA,46.0553,14.515,42.466,19.2663,549.7570406615274
LJU,LJUBLJANA,TIA,TIRANA,46.0553,14.515,41.3275,19.8189,676.5901012303626
LJU,LJUBLJANA,VIE,VIENNA,46.0553,14.515,48.2,16.3666,276.55698465731086
LJU,LJUBLJANA,WAW,WARSAW,46.0553,14.515,52.25,21.0,834.0778284136803
PRG,PRAGUE,LJU,LJUBLJANA,50.0833,14.466,46.0553,14.515,447.90793379326556
SJJ,SARAJEVO,LJU,LJUBLJANA,43.85,18.383,46.0553,14.515,390.78827483747233
SKP,SKOPJE,LJU,LJUBLJANA,42.0,21.4335,46.0553,14.515,713.1801165918753
SVO,MOSCOW,LJU,LJUBLJANA,55.7522,37.6155,46.0553,14.515,1931.429790113138
TGD,PODGORICA,LJU,LJUBLJANA,42.466,19.2663,46.0553,14.515,549.7570406615274
TIA,TIRANA,LJU,LJUBLJANA,41.3275,19.8189,46.0553,14.515,676.5901012303626
VIE,VIENNA,LJU,LJUBLJANA,48.2,16.3666,46.0553,14.515,276.55698465731086
WAW,WARSAW,LJU,LJUBLJANA,52.25,21.0,46.0553,14.515,834.0778284136803
PRG,PRAGUE,ARN,STOCKHOLM,50.0833,14.466,59.3508,18.0973,1056.163716770409
AMS,AMSTERDAM,ARN,STOCKHOLM,52.35,4.9166,59.3508,18.0973,1128.9434095631216
AMS,AMSTERDAM,ATH,ATHENS,52.35,4.9166,37.9833,23.7333,2161.5190088901722
AMS,AMSTERDAM,BRU,BRUSSELS,52.35,4.9166,50.8333,4.3333,173.39474316300328
AMS,AMSTERDAM,BUD,BUDAPEST,52.35,4.9166,47.5,19.0833,1145.876084406598
AMS,AMSTERDAM,CDG,PARIS,52.35,4.9166,48.8667,2.3333,428.0102768761137
AMS,AMSTERDAM,CPH,COPENHAGEN,52.35,4.9166,55.6786,12.5635,621.2079945037791
AMS,AMSTERDAM,FCO,ROME,52.35,4.9166,41.896,12.4833,1294.087468572096
AMS,AMSTERDAM,HEL,HELSINKI,52.35,4.9166,60.1756,24.9341,1502.1047867031264
AMS,AMSTERDAM,KBP,KIEV,52.35,4.9166,50.4334,30.5166,1779.5081418900597
AMS,AMSTERDAM,LCY,LONDON,52.35,4.9166,51.5072,-0.1275,358.2488474650462
AMS,AMSTERDAM,LHR,LONDON,52.35,4.9166,51.5072,-0.1275,358.2488474650462
AMS,AMSTERDAM,LUX,LUXEMBOURG,52.35,4.9166,49.6117,6.13,316.09977558272533
AMS,AMSTERDAM,MAD,MADRID,52.35,4.9166,40.4,-3.6834,1481.1191608253666
AMS,AMSTERDAM,OSL,OSLO,52.35,4.9166,59.9167,10.75,914.8994254225597
AMS,AMSTERDAM,OTP,BUCHAREST,52.35,4.9166,44.4334,26.0999,1785.2318101452124
AMS,AMSTERDAM,PRG,PRAGUE,52.35,4.9166,50.0833,14.466,710.6035468833028
AMS,AMSTERDAM,RIX,RIGA,52.35,4.9166,56.95,24.1,1330.2580551434344
AMS,AMSTERDAM,SVO,MOSCOW,52.35,4.9166,55.7522,37.6155,2146.8803199235495
AMS,AMSTERDAM,TLL,TALLINN,52.35,4.9166,59.4339,24.728,1456.4982723930193
AMS,AMSTERDAM,TRF,OSLO,52.35,4.9166,59.9167,10.75,914.8994254225597
AMS,AMSTERDAM,TXL,BERLIN,52.35,4.9166,52.5218,13.4015,575.1755171734994
AMS,AMSTERDAM,VIE,VIENNA,52.35,4.9166,48.2,16.3666,933.9126809835108
AMS,AMSTERDAM,WAW,WARSAW,52.35,4.9166,52.25,21.0,1091.4530369070173
ARN,STOCKHOLM,AMS,AMSTERDAM,59.3508,18.0973,52.35,4.9166,1128.9434095631216
ATH,ATHENS,AMS,AMSTERDAM,37.9833,23.7333,52.35,4.9166,2161.5190088901722
BRU,BRUSSELS,AMS,AMSTERDAM,50.8333,4.3333,52.35,4.9166,173.39474316300328
BUD,BUDAPEST,AMS,AMSTERDAM,47.5,19.0833,52.35,4.9166,1145.876084406598
CDG,PARIS,AMS,AMSTERDAM,48.8667,2.3333,52.35,4.9166,428.0102768761137
CPH,COPENHAGEN,AMS,AMSTERDAM,55.6786,12.5635,52.35,4.9166,621.2079945037791
FCO,ROME,AMS,AMSTERDAM,41.896,12.4833,52.35,4.9166,1294.087468572096
HEL,HELSINKI,AMS,AMSTERDAM,60.1756,24.9341,52.35,4.9166,1502.1047867031264
KBP,KIEV,AMS,AMSTERDAM,50.4334,30.5166,52.35,4.9166,1779.5081418900597
LCY,LONDON,AMS,AMSTERDAM,51.5072,-0.1275,52.35,4.9166,358.2488474650462
LHR,LONDON,AMS,AMSTERDAM,51.5072,-0.1275,52.35,4.9166,358.2488474650462
LUX,LUXEMBOURG,AMS,AMSTERDAM,49.6117,6.13,52.35,4.9166,316.09977558272533
MAD,MADRID,AMS,AMSTERDAM,40.4,-3.6834,52.35,4.9166,1481.1191608253666
OSL,OSLO,AMS,AMSTERDAM,59.9167,10.75,52.35,4.9166,914.8994254225597
OTP,BUCHAREST,AMS,AMSTERDAM,44.4334,26.0999,52.35,4.9166,1785.2318101452124
PRG,PRAGUE,AMS,AMSTERDAM,50.0833,14.466,52.35,4.9166,710.6035468833028
RIX,RIGA,AMS,AMSTERDAM,56.95,24.1,52.35,4.9166,1330.2580551434344
SVO,MOSCOW,AMS,AMSTERDAM,55.7522,37.6155,52.35,4.9166,2146.8803199235495
TLL,TALLINN,AMS,AMSTERDAM,59.4339,24.728,52.35,4.9166,1456.4982723930193
TRF,OSLO,AMS,AMSTERDAM,59.9167,10.75,52.35,4.9166,914.8994254225597
TXL,BERLIN,AMS,AMSTERDAM,52.5218,13.4015,52.35,4.9166,575.1755171734994
VIE,VIENNA,AMS,AMSTERDAM,48.2,16.3666,52.35,4.9166,933.9126809835108
WAW,WARSAW,AMS,AMSTERDAM,52.25,21.0,52.35,4.9166,1091.4530369070173
ATH,ATHENS,SOF,SOFIA,37.9833,23.7333,42.6833,23.3167,523.8056778646982
SOF,SOFIA,ATH,ATHENS,42.6833,23.3167,37.9833,23.7333,523.8056778646982
CDG,PARIS,FCO,ROME,48.8667,2.3333,41.896,12.4833,1106.8939631081116
FCO,ROME,CDG,PARIS,41.896,12.4833,48.8667,2.3333,1106.8939631081116
ARN,STOCKHOLM,LUX,LUXEMBOURG,59.3508,18.0973,49.6117,6.13,1326.30133960937
CDG,PARIS,LUX,LUXEMBOURG,48.8667,2.3333,49.6117,6.13,287.7805551482816
CPH,COPENHAGEN,LUX,LUXEMBOURG,55.6786,12.5635,49.6117,6.13,801.4298287217545
DUB,DUBLIN,LUX,LUXEMBOURG,53.3331,-6.2489,49.6117,6.13,950.3265497893453
FCO,ROME,LUX,LUXEMBOURG,41.896,12.4833,49.6117,6.13,988.6294692003379
LCY,LONDON,LUX,LUXEMBOURG,51.5072,-0.1275,49.6117,6.13,489.48899967274156
LUX,LUXEMBOURG,ARN,STOCKHOLM,49.6117,6.13,59.3508,18.0973,1326.30133960937
LUX,LUXEMBOURG,CDG,PARIS,49.6117,6.13,48.8667,2.3333,287.7805551482816
LUX,LUXEMBOURG,CPH,COPENHAGEN,49.6117,6.13,55.6786,12.5635,801.4298287217545
LUX,LUXEMBOURG,DUB,DUBLIN,49.6117,6.13,53.3331,-6.2489,950.3265497893453
LUX,LUXEMBOURG,FCO,ROME,49.6117,6.13,41.896,12.4833,988.6294692003379
LUX,LUXEMBOURG,LCY,LONDON,49.6117,6.13,51.5072,-0.1275,489.48899967274156
LUX,LUXEMBOURG,MAD,MADRID,49.6117,6.13,40.4,-3.6834,1280.0586235847268
LUX,LUXEMBOURG,TFS,SOFIA,49.6117,6.13,42.6833,23.3167,1526.6184670047405
LUX,LUXEMBOURG,TXL,BERLIN,49.6117,6.13,52.5218,13.4015,601.9650331294
LUX,LUXEMBOURG,VIE,VIENNA,49.6117,6.13,48.2,16.3666,763.8196283364555
MAD,MADRID,LUX,LUXEMBOURG,40.4,-3.6834,49.6117,6.13,1280.0586235847268
TFS,SOFIA,LUX,LUXEMBOURG,42.6833,23.3167,49.6117,6.13,1526.6184670047405
TXL,BERLIN,LUX,LUXEMBOURG,52.5218,13.4015,49.6117,6.13,601.9650331294
VIE,VIENNA,LUX,LUXEMBOURG,48.2,16.3666,49.6117,6.13,763.8196283364555
ARN,STOCKHOLM,TXL,BERLIN,59.3508,18.0973,52.5218,13.4015,813.2331238329539
ATH,ATHENS,TXL,BERLIN,37.9833,23.7333,52.5218,13.4015,1803.4259335141526
BRU,BRUSSELS,TXL,BERLIN,50.8333,4.3333,52.5218,13.4015,652.3268696868982
BRU,BRUSSELS,VNO,VILNIUS,50.8333,4.3333,54.6834,25.3166,1469.1178761542635
CDG,PARIS,TXL,BERLIN,48.8667,2.3333,52.5218,13.4015,877.9082631623088
CPH,COPENHAGEN,OSL,OSLO,55.6786,12.5635,59.9167,10.75,483.30516869773044
CPH,COPENHAGEN,TXL,BERLIN,55.6786,12.5635,52.5218,13.4015,355.2399396172596
